id;Vrsta;Breed;link1;link2;link3;Skupina;Opis;Temperament;MinVisCM;MaxVisCM;MinKG;MaxKG;MinAge;MaxAge;NjegaDlake;Linjanje;RazEnergije;Trening;Vladanje ;Slika
1;Majmunski pinč;Affenpinscher;https://images.pexels.com/photos/10991597/pexels-photo-10991597.png;https://cdn.pixabay.com/photo/2016/06/06/13/21/dog-1439386_1280.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Affenpinscher_dog.jpg/640px-Affenpinscher_dog.jpg;Toy Group;"Affenpinscher – mali pas velikog karaktera
Affenpinscherov majmunski izgled opisivan je na razne načine. Zovu ih ""psi majmuni"" ili ""terijeri nalik majmunima"". Francuzi ih od milja zovu diablotin moustachu – ""mali vrag s brkovima"", dok se obožavatelji Ratova zvijezda još uvijek prepiru nalikuje li više na Wookieja ili Ewoka.
Ovi čvrsti psi terijerskog izgleda visoki su manje od 30 centimetara i teže oko 3 do 4 kilograma, ali pristupaju životu s iznimnim samopouzdanjem. ""Ovo nije pas kojeg treniraš,"" kaže jedan profesionalni vodič pasa, ""on je kao čovjek – s njim se sprijateljiš.""
Gusta, gruba dlaka opisana je kao ""uredno neuredna"", a dolazi u nekoliko boja. Hod im je lagan i samouvjeren. Znaju biti tvrdoglavi i dominantni, ali Affeni su uglavnom vjerni, privrženi i beskrajno zabavni. Vlasnici kažu da vole biti ""vlasništvo"" svojih malih majmunolikih pasa.
Affenpinscher je odan, znatiželjan i nevjerojatno zabavan. Ovaj gotovo ljudski pas igračke veličine neustrašiv je, bez obzira na svoju malenu građu. Kao i kod svakog velikog komičara, upravo njegova ozbiljnost u nastupu čini njegove nepodopštine još smješnijima.";Samouvjeren;22,86;29,21;3,17;4,53;12;15;Četkanje 2-3 puta tjedno;Seasonal;Redovito vježbanje;Lak za treniranje;Otvoreno;
2;Afganistanski hrt;Afghan Hound;https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/AKC_Helena_Fall_Dog_Show_2011.jpg/640px-AKC_Helena_Fall_Dog_Show_2011.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Way_Up_Mr._Mister_%28Maestro%29.jpg/640px-Way_Up_Mr._Mister_%28Maestro%29.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Wy%C5%9Bcigi_chart%C3%B3w_Szombierki_2009_charty_afga%C5%84skie_9p.jpg/640px-Wy%C5%9Bcigi_chart%C3%B3w_Szombierki_2009_charty_afga%C5%84skie_9p.jpg;Hound group;"Afganistanski hrt – aristokrat plemenite ljepote
Afganistanski hrt drevna je pasmina, čiji cijeli izgled odiše dostojanstvom, otmjenošću i povučenošću. Pogled mu je često usmjeren u daljinu, kao da se prisjeća vremena prošlih. Iza tog elegantnog držanja krije se inteligentan i neovisan duh, ali i pas iznimne privrženosti i odanosti onima koje smatra svojima. Unatoč otmjenoj vanjštini, afganistanski hrt ima vedar, razigran karakter.
Ova pasmina prava je atletska snaga — snažan, brz i izdržljiv pas sposoban za nevjerojatne brzine. Zbog toga zahtijeva svakodnevno kretanje i veliki, ograđeni prostor u kojem se može slobodno kretati.
Prepoznatljiv je po svojoj dugoj, svilenkastoj i valovitoj dlaci koja nije samo ukras, već ima praktičnu funkciju: štitila ga je od oštrih vremenskih uvjeta u planinskim krajevima Afganistana, gdje je ova pasmina stoljećima obavljala zahtjevne lovačke zadatke. Ispod tog glamuroznog izgleda krije se snažan i okretan pas, visok i do 69 cm u grebenu, s velikim jastučićima na šapama koji su mu služili kao prirodni amortizeri na teškom i kamenitom terenu.
Afganistanski hrt nije pas za svakoga — zahtijeva razumijevanje i poseban odnos s vlasnikom. No, kada se pronađe prava povezanost između psa i čovjeka, malo koja pasmina može pružiti toliko elegancije, odanosti i senzibilnosti.
Jedan stručnjak za pasminu ovako ga opisuje:
“To nije pasmina za svakog budućeg vlasnika, ali kad se dogodi prava kombinacija, nijedna životinja ne može nadmašiti afganistanskog hrta kao kućnog ljubimca.”
Afganistanski hrt je ponosni aristokrat – predivan, suzdržan, ali duboko odan i osjećajan pas koji ljubi samo one koji zasluže njegovo povjerenje.";Dostojanstven, duboko odan, aristokratski;63,5;68,58;22,68;27,52;12;15;Dnevno četkanje;Infrequent;Energetičan;Može biti tvrdoglav;Povučen / Oprezan;
3;Airedale terijer;Airedale Terrier;https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Airedale_Terrier.jpg/640px-Airedale_Terrier.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Airedale_Terrier_puppy.jpg/640px-Airedale_Terrier_puppy.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Airedale_Terriers_Flickr.jpg/640px-Airedale_Terriers_Flickr.jpg;Terrier group;"Airedale terijer – kralj među terijerima
Airedale terijer je najveći predstavnik obitelji terijera. Mužjaci dosežu visinu od oko 58 centimetara, a ženke su nešto niže. Dlaka mu je gusta, oštra i otporna, najčešće smeđe boje s crnim oznakama.
Njegove duge, snažne noge pridonose dojmu uzdignutog, ponosnog držanja. Glava je duga i elegantna, s karakterističnom bradom, brkovima, tamnim očima i uredno preklopljenim ušima. Cijelo lice odražava inteligenciju i budnost.
Airedale je savršen primjer tipičnog terijera, samo većih dimenzija. Poput svojih manjih rođaka, zna biti odvažan, uporan i ponekad tvrdoglav. No, ujedno je poslušan, izdržljiv i strpljiv s djecom. Kada je riječ o zaštiti doma i obitelji, neće ustuknuti.
Zahvaljujući svom poznatom stavu ""uradi sve"", Airedale se snalazi u raznim aktivnostima – od sportskih do obiteljskih. Njegova veličina, snaga i nepokolebljiv duh donijeli su mu titulu ""Kralj terijera"".
Ova svestrana pasmina kroz povijest se dokazala kao izvrstan lovac, sportaš i odani suputnik. Airedale terijer je pas koji može sve – i to s elegancijom, hrabrošću i šarmom.";Prijateljski raspoložen, pametan, hrabar;58,42;58,42;22,68;31,75;11;14;Četkanje 2-3 puta tjedno;Occasional;Redovito vježbanje;Željan udovoljiti;Prijateljsko;
4;Akita;Akita;https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Akita_inu.jpeg/640px-Akita_inu.jpeg;https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Akita-inu-colori.jpg/640px-Akita-inu-colori.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Akita_Inu_Fond_Blanc.jpg/640px-Akita_Inu_Fond_Blanc.jpg;Working group;"Akita – tiha snaga i nepokolebljiva odanost
Postoji li itko tko ne zna priču o Hachiku?
Akita je snažan, robusno građen pas tipa špic, impresivne i dostojanstvene pojave. Visina u grebenu kreće se između 61 i 71 centimetar, a tijelo je čvrsto i mišićavo, s gustom dlakom koja dolazi u više boja, uključujući i potpuno bijelu.
Glava Akite je široka i masivna, a vizualno je uravnotežena raskošnim, čvrsto uvijenim repom koji se nosi preko leđa. Uši su uspravne, a oči tamne i sjajne, s pogledom punim budnosti i koncentracije – što je jedan od zaštitnih znakova pasmine.
Akite su tihe, uredne i samosvjesne. Iako često nepovjerljive prema strancima i ne uvijek tolerantne prema drugim životinjama, u krugu obitelji pokazuju nježnu, razigranu i privrženu narav. Izvrsno uspijevaju u blizini ljudi, a posebno su povezane s onima koje prepoznaju kao svoju obitelj.
Ova snažna i samostalna pasmina prirodno je sklona zaštiti svojih najmilijih. Zbog toga je iznimno važno da Akita od najranije dobi bude pravilno socijalizirana – i s ljudima, i s drugim psima.
Akita je dvostruko obložena pasmina mišićave građe, drevnog japanskog podrijetla. Poznata je po svojoj dostojanstvenosti, hrabrosti i nepokolebljivoj odanosti. U Japanu se Akita smatra obiteljskim zaštitnikom i simbolom dobrog zdravlja, sreće i dugog života.";Hrabar, dostojanstven, duboko odan;60,96;71,12;31,75;58,97;10;13;Dnevno četkanje;Seasonal;Energetičan;Željan udovoljiti;Na oprezu / Responzivan;
5;Aljaški malamut;Alaskan Malamute;https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Animal_Photography_Cold_Freezing_Frost-349625.jpg/640px-Animal_Photography_Cold_Freezing_Frost-349625.jpg;vlastita fotografija;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Bala%C3%AFka_of_Articana_Dreams.jpg/640px-Bala%C3%AFka_of_Articana_Dreams.jpg;Working group;"Aljaski malamut – snažan radnik i nježan pratitelj
Aljaski malamut je moćan pas tipa špic, izvorno uzgojen za teške uvjete i vuču saonica u arktičkim područjima. Visok je oko 58 do 64 centimetra, a težak 34 do 39 kilograma. Sve na ovom psu govori o snazi i izdržljivosti – snažne kosti, duboka prsa, moćna ramena i gusta, otporna dlaka jasno poručuju da je stvoren za ozbiljan rad u ekstremnim uvjetima.
Ipak, unatoč njegovoj fizičkoj snazi, oči u obliku badema – najčešće tople smeđe boje – zrače nježnošću i prijateljstvom. Malamut, ili jednostavno ""Mal"", s veseljem se prepušta maženju sa svojim ljudima nakon napornog dana.
Ova pasmina snažno osjeća pripadnost čoporu. U obiteljskoj zajednici vrlo je važno da vlasnik preuzme ulogu vođe. Ako Malamut ne osjeća poštovanje prema svom čovjeku, vrlo lako će pokušati preuzeti kontrolu. Zato je dosljedan, ali nježan odgoj izuzetno važan od najranije dobi.
Kad je pravilno odgojen, malamut je prekrasan suputnik – razigran, blag, društven i sjajan s djecom. Ovaj snažan pas velikog srca poznat je po svojoj odanosti i toplom karakteru, ali uvijek zadržava dozu dostojanstva i neovisnosti.
Prepoznatljiv je po bogato odlakanom, čupavom repu koji se nosi preko leđa, uspravnim ušima i snažnoj, proporcionalnoj građi.
Aljaski malamut pripada najstarijim arktičkim pasminama, uzgajanim od strane Inuita (Mahlemut plemena) za vuču teških tereta i preživljavanje u ekstremnim vremenskim uvjetima.";Privržen, odan, zaigran;58,42;63,5;34,02;38,55;10;14;Četkanje 2-3 puta tjedno;Seasonal;Energetičan;Nezavisan;Prijateljsko;
6;Američki buldog;American Bulldog;https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Amerikansk_bulldog_blocky_bulldogs_svip_och_smilla.jpg/640px-Amerikansk_bulldog_blocky_bulldogs_svip_och_smilla.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Amerikansk_bulldog_blocky_bulldogs_svip_och_smilla.jpg/640px-Amerikansk_bulldog_blocky_bulldogs_svip_och_smilla.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Americanbulldogpuppies.JPG/640px-Americanbulldogpuppies.JPG;Foundation Stock Service;"Američki buldog – snažan radnik i odani čuvar
Američki buldog potomak je engleskog buldoga, a vjeruje se da su prvi primjerci stigli u Ameriku već u 17. stoljeću. Tijekom 1800-ih godina, europski doseljenici donijeli su sa sobom svoje radne pse, koje su koristili kao čuvare farme, pse za stoku i hvatače divljih svinja.
Ova svestrana pasmina preživjela je uglavnom u južnim državama SAD-a, ponajviše zahvaljujući svojoj iznimnoj sposobnosti da ulovi i obori divlje svinje – što je bio jedan od ključnih zadataka na američkim farmama tog vremena.
Pasmina koju danas poznajemo kao američki buldog izvorno je bila poznata pod raznim imenima. U pojedinim dijelovima američkog Juga zvali su ih bijeli engleski južni buldog, a najčešće jednostavno ""buldog"". Naziv nije bio vezan uz njihov izgled, već uz posao koji su obavljali – bili su pravi radni buldozi.
Poznat po snažnoj povezanosti s obitelji, pas je odan, zaštitnički nastrojen i odličan suputnik na selu, ali i u urbanim sredinama uz pravilnu socijalizaciju.
Američki buldog nije službeno standardiziran sve do 20. stoljeća, a današnji naziv ušao je u širu uporabu tek nakon Drugog svjetskog rata.
Američki buldog je snažan, proporcionalno građen pas, poznat po svojoj snazi, izdržljivosti i okretnosti. Unatoč robusnoj građi, poznat je po prijateljskom i blagonaklonom temperamentu. Pasmina je povijesno uzgajana kao višenamjenski radni pas – za čuvanje imanja, rad sa stokom i zaštitu obitelji.
Procijenjena težina pasmine: 30–54 kilograma, visina u grebenu 51–71 centimetar ovisno o spolu i liniji uzgoja.";Odan, samopouzdan;50,8;63,5;27,22;45,35;10;12;Povremeno kupanje i četkanje;Seasonal;Energetičan;Ugodan/Agreeable;Na oprezu / Responzivan;
7;Američko engleski Coonhound;American English Coonhound;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Maddie_%288416820450%29.jpg/640px-Maddie_%288416820450%29.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Stacked_English_Coonhound.jpg/640px-Stacked_English_Coonhound.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/American_English_Coonhound.jpg/640px-American_English_Coonhound.jpg;Hound group;"Američki engleski coonhound – neustrašivi lovac i atletski radnik
Američki engleski coonhound je elegantan, izdržljiv pas građen za brzinu i rad. Može doseći visinu do 66 centimetara u grebenu, a cijelo tijelo mu je mišićavo, vitko i atletski oblikovano. Prekriva ga srednje duga dlaka raznih uzoraka i boja, često prošarana sitnim točkicama poznatima kao ""ticking"".
Glava mu je široka, s blago zaobljenom lubanjom. Uši su meke, duge i spuštene, a tamnosmeđe oči tople i blage, s izrazom punim dobrote.
Dok je izvan lova miran i staložen, na terenu coonhound postaje uporan, tvrdoglav i potpuno posvećen svom zadatku. Pasmina je izvorno uzgojena za noćni lov na rakune, pri čemu je radila od sumraka do zore. Njihova snaga, odlučnost i glasno, jasno zavijanje čine ih fascinantnim partnerima u lovu, ali mogu biti izazovni kao kućni ljubimci – posebno za vlasnike bez iskustva.
Zbog visoke razine energije, snažnog nagona za radom i izraženog glasa, coonhoundi najbolje uspijevaju uz vlasnike koji im mogu pružiti dovoljno fizičke i mentalne stimulacije. Mnogi zaljubljenici u ovu pasminu smatraju da je prava šteta imati coonhounda ako mu se ne pruži prilika da izrazi svoje prirodne sposobnosti u radu.
Ovaj vitki, žilavi gonič s dušom sportaša oličenje je strasti i predanosti. Pogled na američkog engleskog coonhounda kako juri kroz mjesečinom obasjanu šumu, s čvrstim tijelom u pokretu i moćnim glasom koji odjekuje noćnom tišinom, prizor je koji oduševljava svakog pravog lovca.
Pasmina je poznata po glasu koji se daleko čuje i koji se razlikuje u tonu kada pas pronađe trag, prati ili ""zazvoni"" na drvetu gdje se plijen sakrio.
""Coonhound"" je opći naziv za skupinu američkih lovačkih pasa specijaliziranih za lov na rakune i druge šumske životinje.";Sladak, drag, društven;58,42;66,04;20,41;59,48;11;12;Povremeno kupanje i četkanje;Occasional;Energetičan;Ugodan/Agreeable;Na oprezu / Responzivan;
8;Američki eksimski pas;American Eskimo Dog;https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/American_Eskimo_Dogs.jpg/640px-American_Eskimo_Dogs.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/American_Eskimo_Dog_Peary.jpg/640px-American_Eskimo_Dog_Peary.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/American_Eskimo_Dog_2.jpg/640px-American_Eskimo_Dog_2.jpg;Non-Sporting Group;"Američki eskimski pas – ljepota, inteligencija i odanost u malom paketu
Unatoč imenu, pasmina ne potječe od Eskima – naziv je nastao u SAD-u početkom 20. stoljeća, a pasmina potječe od njemačkih špiceva.
Američki eskimski pas dolazi u tri veličine – standardni, miniature i toy – s visinom u grebenu od 23 do 48 centimetara, ovisno o varijanti. Ova pasmina prepoznaje se po raskošnoj, gustoj, blistavo bijeloj dlaci, s raskošnom ""grivom"" oko prsa i ramena, poput lava. Rep je bogato odlakan i elegantno nošen preko leđa.
Lice eskimskog psa uvijek djeluje nasmijano, s crnim nosom, usnama i rubovima očiju koji naglašavaju njegov bistar i inteligentan izraz. Neki primjerci imaju nježne kremaste oznake koje se u svijetu uzgajivača nazivaju ""biscuit cream"" – nijansa između keksa i vrhnja. Kreću se odvažno, skladno i okretno.
Eskiji su izrazito društveni psi koji ne podnose osamljenost ili zanemarivanje. Ako se ne uključe aktivno u život obitelji ili se ne odgajaju dosljedno, mogu razviti neželjena ponašanja. No, pravilno socijaliziran i vođen eskimski pas jedan je od najposlušnijih i najlakših za treniranje među svim pasminama. Izraz ""želi udovoljiti"" kao da je smišljen upravo za njih.
Unatoč svom glamuroznom izgledu, američki eskimski pas nije samo lijepo lice. To je pas velike pameti, zaigran i odan, a posebno nježan s djecom. Iako uvijek budan i pažljiv, nije agresivan niti pretjerano sramežljiv, već samo blago suzdržan prema nepoznatima – sve dok ih ne upozna bolje.
Idealni su za obitelji koje žele psa koji kombinira ljepotu, vedrinu, sposobnost učenja i blagu narav.";Razigrani, živahni, pametni;22,86;48,26;2,72;15,88;13;15;Tjedno četkanje;Seasonal;Energetičan;Željan udovoljiti;Otvoreno;
9;Američki lisičar;American Foxhound;https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Foxhound_Am%C3%A9ricain.jpg/640px-Foxhound_Am%C3%A9ricain.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Old-limber-foxhound-of-taylor.jpg/640px-Old-limber-foxhound-of-taylor.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Amerikankettukoira2.jpg/640px-Amerikankettukoira2.jpg;Hound group;"Američki lisičar – izdržljiv tragač vedrog duha
Američki lisičar je vitak, visok i izdržljiv pas poznat po svojoj brzini, snazi i radnoj etici. Lako se razlikuje od svog britanskog rođaka, engleskog lisičara, po duljim, tanje građenim nogama i lagano zaobljenom slabinskom dijelu leđa. Pogled mu je blag, a velike, meke oči često opisuju kao molećive.
Iako su po naravi blagi i prijateljski raspoloženi, američki lisičari nisu pasmina za svakoga. Imaju snažan lovački nagon i zahtijevaju puno kretanja – bez redovite fizičke aktivnosti mogu postati frustrirani, depresivni ili destruktivni. Njihovo glasno i prodorno zavijanje, iako ugodno za ljubitelje goniča, može predstavljati izazov u urbanim sredinama.
Ovi psi su u pravilu dobrodušni, jednostavni za održavanje i dobro se slažu s djecom, drugim psima pa čak i mačkama. No njihova neovisna narav i izražen nagon za lovom znače da nisu najbolji izbor za neiskusne vlasnike, posebno kad je u pitanju kućni odgoj i pouzdano izvođenje naredbi.
Američki lisičari duboko su ukorijenjeni u američkoj povijesti – često su povezani s junacima Američke revolucije i prostranim posjedima stare Virginije, gdje su stoljećima pratili lovce na konjima u potrazi za lisicama.
Iako nisu česti kućni ljubimci, obožavaju društvo drugih pasa i najbolje funkcioniraju u aktivnim obiteljima s puno prostora i razumijevanja za njihove potrebe.";Neovisan, ležeran, dobroćudan;53,34;63,5;27,22;31,75;11;13;Povremeno kupanje i četkanje;Seasonal;Energetičan;Nezavisan;Prijateljsko;
10;Američki goli terijer;American Hairless Terrier;https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/American_Hairless_Terrier_001.jpg/640px-American_Hairless_Terrier_001.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/American_hairless_terriers_in_Israel.jpg/640px-American_hairless_terriers_in_Israel.jpg;https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/TagnonPond9-6-03.jpg/640px-TagnonPond9-6-03.jpg;Terrier group;"Američki bezdlaki terijer visok je između 30 i 40 centimetara u ramenima, a dolazi u varijantama s dlakom i bez dlake. Varijanta bez dlake može imati obrve i brkove, dok dlakavi ima kratku, sjajnu dlaku. Koža bezdlakog terijera je glatka i topla na dodir. 
Široka, klinasta glava obilježje je obje varijante. Uspravne uši u obliku slova V uokviruju okrugle, izražajne oči koje sjaje od znatiželje. 
Američki bezdlaki terijer kreće se veselo i živahno u koraku, što najavljuje pravi terijerski stav. 
Varijanta bez dlake je hipoalergena koliko god pas može biti. Međutim, bezdlakost predstavlja svoje izazove. Opekline od sunca su problem, a hladno vrijeme zahtijeva posebne mjere opreza. 
Ova pasmina zaštitnički nastrojena je prema svojim ljudima i budni su psi čuvari. 
Američki bezdlaki terijer, porijeklom iz Louisiane, pametan je, znatiželjan i razigran pas koji dolazi u varijantama bez dlake i bez dlake. On je dobar izbor za osobe koje pate od alergija i žele psa s pravom terijerskom hrabrošću i upornošću.";Energičan, oprezan, znatiželjan;30,48;40,64;5,44;7,26;14;16;Zaštita od sunca;;Redovito vježbanje;Željan udovoljiti;Zaigrano / Znatiželjno;
